pri_neigh,index_sb,nearestTrainStopDist_sb,nearestCoffeeDist_sb,index_nsb,nearestTrainStopDist_nsb,nearestCoffeeDist_nsb,nsbRatio
Albany Park,2,0.008307241148433935,0.006013452631481604,2.0,0.006201469819566785,0.006013452631481604,1.0
Andersonville,1,0.009828091451963259,0.004972324058727577,1.0,0.009682082701829686,0.0014692200767270043,1.0
Belmont Cragin,2,0.043444896004748865,0.0020692586947638103,2.0,0.02879370926287219,0.02067817003612295,1.0
Beverly,1,0.0,0.02379083432656403,1.0,0.05478703306491891,0.02379083432656403,1.0
Boystown,1,0.009094574412045829,0.0015227209922844568,2.0,0.007175410713961132,0.0028949308552054997,2.0
Bucktown,3,0.011236996693889535,0.0016488447223917194,3.0,0.006195421722074689,0.0019279703615212474,1.0
Chatham,1,0.004044470843220207,0.0004258007283125027,1.0,0.004437814634169575,0.0004258007283125027,1.0
East Village,1,0.0034729722637881423,0.002072212229188856,2.0,0.005346707306385598,0.002511819852188136,2.0
Edgewater,1,0.0015538235339055272,0.01070354775514332,4.0,0.0048423155060424465,0.002761797474002901,4.0
Galewood,1,0.022199030849630826,0.013895155932640065,1.0,0.03598109243986867,0.012479465491678129,1.0
Garfield Ridge,1,0.02007796112617269,0.02761349975346235,0.0,0.0,0.0,0.0
Gold Coast,1,0.004283623452710212,0.002011455917815419,0.0,0.0,0.0,0.0
Greektown,1,0.005004755792840746,0.0038498798821350495,0.0,0.0,0.0,0.0
Hyde Park,2,0.021987371605166707,0.005777401512390648,5.0,0.014642799007802906,0.0012706738892456,2.5
Lake View,8,0.004664830809747114,0.004116031427140953,7.0,0.005271977519870971,0.0037061412215799233,0.875
Lincoln Park,8,0.006705373755370978,0.0034369839480104494,5.0,0.00803496961822944,0.00169905787924828,0.625
Lincoln Square,2,0.0020892763540854703,0.004568031114678607,6.0,0.00507393965206705,0.0039562164494512326,3.0
Logan Square,1,0.0,0.004167214945940794,8.0,0.0021071526389993905,0.004093858508410728,8.0
Loop,34,0.0018258901752472537,0.001194889803610949,12.0,0.0011451851251949906,0.0010706198791608451,0.35294117647058826
Magnificent Mile,2,0.004324176375508267,0.0013479385564188642,1.0,0.004280316829127198,0.001322101725227795,0.5
Near South Side,1,0.0006415180325188484,0.00033478746518998475,1.0,0.007002400587344509,0.007023082490340188,1.0
North Center,3,0.007261616761275381,0.002773950750033225,6.0,0.005572544381551074,0.002226351536232315,2.0
North Park,2,0.01654714870820379,0.008337047628727935,1.0,0.015234342932111147,0.00682119379577793,0.5
Norwood Park,1,0.014410328933086948,0.012542498171078144,0.0,0.0,0.0,0.0
Old Town,4,0.005126466587339822,0.003900192606416049,1.0,0.0018079218444603442,0.004254878156685815,0.25
River North,7,0.0023560263664426455,0.0023094032491972377,4.0,0.0033407342735862792,0.0016052109977686324,0.5714285714285714
Rush & Division,4,0.0015435306698345255,0.001993348765875161,1.0,0.001780458397752037,0.0011930056390628992,0.25
"Sauganash,Forest Glen",2,0.028526754711318866,0.026343842257959042,0.0,0.0,0.0,0.0
Sheffield & DePaul,2,0.00585114606783693,0.003661492252477489,0.0,0.0,0.0,0.0
South Shore,1,0.02469713890702963,0.017967175891083847,0.0,0.0,0.0,0.0
Streeterville,5,0.008804744443204355,0.0027330385901683458,1.0,0.0123767877050858,0.0030589846034297596,0.2
Uptown,2,0.0023891407151124242,0.0037289805672063117,3.0,0.0035223687704163073,0.003973375181398299,1.5
West Loop,9,0.0033002667585604107,0.0015481048442906938,12.0,0.005140108485815057,0.0020334959531342046,1.3333333333333333
West Ridge,2,0.02036925875339956,0.017433100366943476,2.0,0.02461941104310198,0.009653477738102335,1.0
West Town,1,0.0054800729708876965,0.000828765758259123,7.0,0.008623178704751197,0.004246176106911405,7.0
Wicker Park,1,0.0005398152784200944,0.000853149293996399,3.0,0.005186260014495874,0.004182757918303453,3.0
Wrigleyville,1,0.0017046975324043281,0.001159153285828178,1.0,0.0002808580011015667,0.0059946013974128045,1.0
