neighborhood,nearestParkDist_sb,nearestBusStopDist_sb,index_sb,nearestCoffeeDist_sb,nearestParkDist_nsb,nearestBusStopDist_nsb,index_nsb,nearestCoffeeDist_nsb,nsbRatio,price,area,areaPerSB,areaPerNSB,areaPerCoffee
Bayview,0.004876689330940386,0.0003135889028677081,1,0.002994146956978741,0.00497649757944207,0.001145715469684768,13,0.002023111869672358,13.0,3270.0,0.0012957353273737985,0.0012957353273737985,9.967194825952296e-05,9.255252338384275e-05
Castro/Upper Market,0.003271015830818213,0.0002655729081996783,2,0.001060201552482872,0.0023426692396179313,0.0005026960108056478,14,0.00131490476188448,7.0,3270.0,0.00022677101413524366,0.00011338550706762183,1.6197929581088833e-05,1.4173188383452729e-05
Downtown/Civic Center,0.002272851234516377,0.00036772992233871865,8,0.0009488182878152853,0.0018859478936952077,0.000401165183789144,22,0.0007038920774963977,2.75,3270.0,0.00017071264129315552,2.133908016164444e-05,7.759665513325251e-06,5.690421376438517e-06
Financial District,0.003504653933050823,0.00045703268968284465,34,0.0007126099011334963,0.004370688549538418,0.0005307596360723552,45,0.0005551478864587082,1.3235294117647058,3700.0,0.00018386404086790414,5.407765907879534e-06,4.085867574842315e-06,2.3273929223785334e-06
Inner Richmond,0.004900818772779057,0.0007656097566586612,2,0.00171995340610864,0.003119621532274095,0.0006026629856631384,15,0.0013698744921848444,7.5,3270.0,0.00034796692807020473,0.00017398346403510237,2.3197795204680314e-05,2.0468642827659102e-05
Inner Sunset,0.004999409423047627,0.0007918565651769883,2,0.0015129648046166263,0.005401507092101476,0.0008079609229438368,8,0.0005751171932147536,4.0,2800.0,0.0003535686344692382,0.0001767843172346191,4.419607930865477e-05,3.5356863446923815e-05
Lakeshore,0.0035454066415253165,0.0008219841847626115,1,0.0,0.00432290802304069,0.0009676220547920918,3,0.004606920313808666,3.0,3270.0,0.0009650527499308701,0.0009650527499308701,0.0003216842499769567,0.00024126318748271753
Marina,0.0036538171693532794,0.0006292530570551675,3,0.0036305422200432025,0.005193968679262541,0.0006588617726891492,7,0.00022884514906140234,2.3333333333333335,3300.0,0.0002568933880157535,8.56311293385845e-05,3.669905543082193e-05,2.5689338801575347e-05
Mission,0.002353823825944472,0.0002789157578867681,1,0.0,0.002771228817130809,0.0011139262642090018,26,0.0013062306662558862,26.0,3410.0,0.0004583014611832339,0.0004583014611832339,1.7626979276278226e-05,1.6974128191971626e-05
Nob Hill,0.005720893318810197,0.0004429446918010129,1,0.00136673955090586,0.003569213702842765,0.0003850519278668771,6,0.0015721994387098495,6.0,3220.0,9.767447570504733e-05,9.767447570504733e-05,1.6279079284174557e-05,1.3953496529292476e-05
Noe Valley,0.005722738507410332,7.14492827108939e-05,1,0.0016512955519826702,0.004821505180421883,0.0014576334196507211,8,0.0020700321371237315,8.0,3500.0,0.0002374889465701177,0.0002374889465701177,2.9686118321264712e-05,2.6387660730013078e-05
North Beach,0.003270926577614177,0.00042649640050446483,3,0.002228014677770561,0.0025670301830120635,0.0007898961162733563,11,0.000994550846630987,3.6666666666666665,3040.0,0.00016537181671136438,5.5123938903788125e-05,1.5033801519214943e-05,1.1812272622240312e-05
Outer Sunset,0.006488156822531616,0.00013395894893520306,1,0.0,0.00700541572730755,0.0014464938298000077,10,0.0028167769187412736,10.0,3270.0,0.0006461586646890988,0.0006461586646890988,6.461586646890988e-05,5.874169678991807e-05
Pacific Heights,0.003768197712068593,0.00011433722053761462,1,0.0002218220007110363,0.0033620048484765096,0.0001520663699957315,3,0.00035075107133364657,3.0,3500.0,0.00017746246879305074,0.00017746246879305074,5.9154156264350245e-05,4.4365617198262685e-05
Potrero Hill,0.0027717383213037954,0.00034193340314400016,2,0.0005802332962463727,0.003409809183618197,0.0010583905940928352,13,0.0008224551398272837,6.5,3290.0,0.0003630609153196527,0.00018153045765982636,2.7927762716896364e-05,2.420406102131018e-05
Presidio Heights,0.0033829959007551495,0.00010332473082929024,1,0.0028170780961759424,0.0025930622009476324,0.0002103510243415013,6,0.0011479803946549318,6.0,3270.0,0.00011652717225785122,0.00011652717225785122,1.9421195376308535e-05,1.6646738893978744e-05
Russian Hill,0.0012407985497726378,0.0003773847928325447,3,0.00042327133832502183,0.0016997439759438488,0.0005119042089803086,8,0.0010592095720463835,2.6666666666666665,3830.0,0.00012634922497921993,4.2116408326406644e-05,1.579365312240249e-05,1.1486293179929085e-05
South of Market,0.005804197961565101,0.0008525814555850876,9,0.0011436214976846134,0.0035092478942990554,0.0009131219776589921,32,0.0011410919961031406,3.5555555555555554,3270.0,0.0005592948141384538,6.214386823760597e-05,1.747796294182668e-05,1.364133693020619e-05
West of Twin Peaks,0.004303646962697159,0.00034602120513629246,2,0.0013878775179211097,0.0061330936200380826,0.0008941553881049488,4,0.0006939387589605548,2.0,3010.0,0.0005008752861748729,0.00025043764308743644,0.00012521882154371822,8.347921436247881e-05
Western Addition,0.002511395594131478,0.00024118680946063186,2,0.0025426559635308007,0.0019126195756775516,0.0006790235815781649,16,0.0011967295442514524,8.0,3270.0,0.00040177622578780014,0.00020088811289390007,2.511101411173751e-05,2.2320901432655564e-05
